time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1681731791999923700,783.831923828125,88.84054278768599,3.1930372113201844,92.11782634549617,51.89081767688346,32.2505426350981,183.9610595703125,4.787545289922138,3.302112525298493,-8.481238232400765,1.5572078657348616
1681731792999913000,784.8319128417969,88.68005833402276,3.727822859993795,180,51.890819481171214,32.09005818143487,184.50848388671875,4.779925643985039,3.313132637061644,-8.481239414841811,0
1681731793999902500,785.83190234375,88.57813408970833,3.730396218214868,180,51.89082080026446,31.988133937120438,184.50848388671875,4.779000285158655,3.3144672735210903,-8.481262679514455,0
1681731794999891200,786.8318911132812,88.73926090355963,3.748295668895802,180,51.89082440477229,32.149260750971735,184.50848388671875,4.779072456455999,3.314363210140441,-8.481252559092027,0
1681731795999880700,787.8318806152344,88.78158131148666,3.729568243740049,180,51.89082568079081,32.19158115889877,184.50848388671875,4.778187265490706,3.315639227764578,-8.481248129139333,0
1681731796999870700,788.8318706054688,88.76491201668978,3.729934804953809,180,51.89082703122192,32.17491186410189,184.50848388671875,4.777498955423175,3.316630935711617,-8.481245019267055,0
1681731797999859500,789.831859375,88.68473825603724,3.7527904771666805,180,51.89082720528916,32.094738103449345,184.50848388671875,4.778647122853601,3.314976426466987,-8.481244717175747,0
1681731798999850200,790.8318503417969,88.68473825603724,3.712259272411344,180,51.89082720528916,32.094738103449345,184.50848388671875,4.779049807131711,3.314395868592523,-8.481244717175747,0
1681731799999839000,791.8318388671875,88.68473825603724,3.7514083684909134,180,51.89082720528916,32.094738103449345,184.50848388671875,4.778422853526414,3.315299694701117,-8.481244717175747,0
1681731800999829000,792.8318291015624,88.68473825603724,3.7524819152594633,180,51.89082720528916,32.094738103449345,184.50848388671875,4.77812133686275,3.3157342358828705,-8.481244717175747,0
1681731801999818500,793.8318186035157,88.68473825603724,3.7521727635348983,180,51.89082720528916,32.094738103449345,184.50848388671875,4.777632828947877,3.316438086946346,-8.481244717175747,0
1681731802999808000,794.8318081054688,88.68473825603724,3.7242205076609682,180,51.89082720528916,32.094738103449345,184.50848388671875,4.776581379901985,3.3179522832558166,-8.481244717175747,0
1681731803999797800,795.8317978515626,88.68473825603724,3.718234299367119,180,51.89082720528916,32.094738103449345,184.50848388671875,4.7756638080644915,3.3192728458401546,-8.481244717175747,0
1681731804999787800,796.8317878417969,88.68473825603724,3.745755511092832,180,51.89082720528916,32.094738103449345,184.50848388671875,4.773591436626089,3.322252523358047,-8.481244717175747,0
1681731805999777500,797.8317775878907,88.68473825603724,3.74625161405361,180,51.89082720528916,32.094738103449345,184.50848388671875,4.771651646760082,3.3250379839575714,-8.481244717175747,0
1681731806999766300,798.8317663574219,88.84978105220944,3.7245996174381433,180,51.8908270258117,32.259780899621546,184.50848388671875,4.7699130354347865,3.327531617757845,-8.481212711535463,0
1681731807999755800,799.831755859375,88.90076910052449,3.7251264256317107,180,51.890815662412926,32.310768947936594,184.50848388671875,4.7689528646339285,3.3289075697124244,-8.481218656724515,0
1681731808999746300,800.8317463378906,89.16261451225728,3.1305560621678308,51.607320594308554,51.89078006564667,32.57261435966939,183.9610595703125,4.76939497045193,3.328274124620248,-8.481227045529145,2.7609013815059007
1681731809999736300,801.831736328125,89.41375460475683,2.9582989447638255,34.120837223408294,51.890740587017916,32.82375445216894,183.9610595703125,4.771285426856916,3.3255634722933274,-8.48123464461563,3.9156639874821373
1681731810999726300,802.8317263183594,89.81298841536045,2.7855274532602534,24.67994798177252,51.89069072966387,33.22298826277256,183.9610595703125,4.775161727940454,3.319995106141208,-8.481239178202102,5.108386633634797
1681731811999715300,803.8317153320312,90.25585122127086,2.6434275326469012,19.065559795577425,51.89062927349493,33.66585106868297,183.9610595703125,4.777631299116737,3.31644029080714,-8.481240010822948,6.29750409149123
1681731812999705900,804.8317058105469,90.6592410132289,2.5501055644217643,16.584641895327916,51.89056402413041,34.069240860641,183.9610595703125,4.783692317147607,3.3076917703516138,-8.481253662610557,6.980937647687154
1681731813999695400,805.8316953125,90.96177203208208,2.609770233613423,18.477351017181526,51.89050848813982,34.37177187949419,184.95162963867188,4.790278931564649,3.2981456593966056,-8.481262541094269,6.404110861183108
1681731814999686000,806.8316857910156,91.1420935401693,2.613906387993639,18.65389918116596,51.89045126177468,34.55209338758141,187.04595947265625,4.795798822116579,3.290114084735372,-8.481271378877246,6.35373334823386
1681731815999675400,807.8316752929687,91.4487167391926,2.709061797589981,22.32934656502091,51.89040816403639,34.858716586604714,187.04595947265625,4.794941621396957,3.2913632251977236,-8.481280608606449,5.491249123241187
1681731816999665000,808.8316647949218,91.45995373558253,2.738903196777392,22.825148056957023,51.89035870205267,34.86995358299464,189.48577880859375,4.794133295479377,3.2925405051365546,-8.48129933125096,5.4037929679090375
1681731817999654700,809.8316545410156,91.42901062592864,2.692100249893999,20.47014890684458,51.89030314075818,34.83901047334075,191.20123291015625,4.806017788070166,3.2751687061191177,-8.481318022694827,5.899474366393136
1681731818999644700,810.8316447753906,91.106156013906,2.6325617602841156,18.260444736158195,51.890246332380485,34.51615586131811,194.07015991210938,4.815784692957217,3.2607905213104083,-8.481341391964689,6.434674397305252
1681731819999634700,811.831634765625,90.65636064484715,2.6373970045490487,17.804072283387573,51.89018528304797,34.066360492259264,194.07015991210938,4.814183347607491,3.263154260590137,-8.48137463522941,6.566662445629723
1681731820999625200,812.8316252441406,90.23419526219368,2.671019418534872,19.21856616202861,51.890125335849675,33.64419510960579,194.07015991210938,4.812324018561781,3.2658956770175966,-8.481393817789161,6.141183566735349
1681731821999614500,813.8316145019531,89.89293186739087,2.660590075761834,18.813513347649906,51.890069237524294,33.30293171480298,193.5290069580078,4.8039903886566835,3.278141756923127,-8.481412619778018,6.289703963953149
1681731822999604700,814.8316047363281,89.83846843987703,2.620538805568502,18.058245838294933,51.890012673930904,33.24846828728914,193.42454528808594,4.802828971080032,3.2798431223677693,-8.481430622691796,6.479942670700377
1681731823999594800,815.8315947265625,89.56891275197268,2.6123666909761267,17.43470187421035,51.88995585824118,32.978912599384785,197.202392578125,4.803904274935163,3.278267949702785,-8.481462775218317,6.637254687881504
1681731824999584800,816.8315847167969,89.2875789552927,2.536988032280495,15.028710531404142,51.889891433060484,32.69757880270481,199.77859497070312,4.80945469380811,3.2701196585134262,-8.481507553420544,7.364222317773491
1681731825999574800,817.8315747070312,88.96741612255573,2.5325991453774095,13.478258469446281,51.88982557910113,32.37741596996784,200.60302734375,4.808364199730928,3.2717229032323,-8.481558644037186,8.070041398612155
1681731826999564300,818.8315642089843,88.47370671853423,2.4742472253829537,12.129789977618938,51.88975217701824,31.88370656594634,204.34962463378906,4.805166298118615,3.276417842738299,-8.481616299951929,8.670768147127392
1681731827999555000,819.8315551757812,88.03163089230657,2.453646723393884,11.090940237038277,51.889675113479825,31.441630739718676,204.34962463378906,4.809109959840647,3.2706266107506563,-8.481675113774587,9.410003203216126
1681731828999545000,820.8315451660156,87.5039079869166,2.4115874369178423,10.262175167612066,51.8895912119304,30.91390783432871,200.72174072265625,4.812347478959385,3.265861107662432,-8.481733001698784,10.043936683145716
1681731829999534800,821.8315349121094,87.05427400954068,2.352486364355621,9.715346012624861,51.88950759565492,30.464273856952786,199.4425811767578,4.804682380347304,3.277127439812037,-8.481784547304615,10.44594674209847
1681731830999525000,822.8315251464844,86.38520677573979,2.299308173513733,9.304604940473359,51.8894124406287,29.7952066231519,197.92068481445312,4.795345645422231,3.2907745552861685,-8.481809818576581,10.746441553169024
1681731831999515100,823.8315151367187,86.02522292453796,2.1582325620266527,10.296943928833214,51.88931697732714,29.435222771950066,194.0701904296875,4.786440786899206,3.3037133087325454,-8.481874517937843,11.036114013978107
1681731832999505200,824.8315051269532,85.60909162648022,2.1937826402109115,10.196660630113533,51.8892218485949,29.01909147389233,192.34906005859375,4.7778964393053505,3.316058299858747,-8.48190829463785,11.08841375111026
1681731833999495000,825.8314948730468,85.28934134542942,2.1747491012277496,9.689477298485967,51.88912343653417,28.69934119284153,189.57786560058594,4.769907013614811,3.3275402498327606,-8.48193521564326,11.331381788206901
1681731834999485000,826.8314848632813,85.0042185196653,2.1740602642745044,9.142118705647844,51.889016723337136,28.41421836707741,187.55471801757812,4.7689484570935585,3.328913883892734,-8.481961410079482,11.778127870581978
1681731835999475000,827.8314748535156,84.93884368799627,2.1631804272422572,8.70138927649651,51.88890800179481,28.348843535408378,187.55471801757812,4.7693574261057154,3.328327924775307,-8.48198728115651,12.22485922863446
1681731836999465000,828.83146484375,84.4724294776097,2.1546862828884774,8.200960139794443,51.8887903617859,27.882429325021803,187.55471801757812,4.767357542380605,3.3311918431539773,-8.481998804729871,12.691698714328107
1681731837999455000,829.831455078125,84.27468000724912,2.1295363996693797,8.126933797839756,51.8886761449428,27.684679854661226,186.28277587890625,4.765926831425325,3.3332384358591858,-8.482022090757548,12.875082606773262
